Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-02-28 00:00:00+00:00,85.09622955322266,85.10730743408203,80.76268768310547,80.77025604248047,27689,0.0,0.0
2022-03-01 00:00:00+00:00,80.76917266845703,81.94860076904297,79.08299255371094,79.1106948852539,18546,0.0,0.0
2022-03-02 00:00:00+00:00,79.10980987548828,81.44602966308594,76.91495513916016,77.61961364746094,23427,0.0,0.0
2022-03-03 00:00:00+00:00,77.61924743652344,78.69770050048828,76.90951538085938,77.43833923339844,19508,0.0,0.0
2022-03-04 00:00:00+00:00,77.44026184082031,79.37881469726562,76.66352844238281,79.34886169433594,10493,0.0,0.0
2022-03-05 00:00:00+00:00,79.355224609375,81.84812927246094,79.18250274658203,80.37427520751953,13942,0.0,0.0
2022-03-06 00:00:00+00:00,80.37495422363281,80.44096374511719,80.07514953613281,80.17384338378906,6992,0.0,0.0
2022-03-07 00:00:00+00:00,80.17581176757812,82.78032684326172,80.12472534179688,82.5058364868164,11390,0.0,0.0
2022-03-08 00:00:00+00:00,82.5030746459961,86.2395248413086,82.50048065185547,85.49588012695312,17781,0.0,0.0
2022-03-09 00:00:00+00:00,85.49662017822266,85.58088684082031,81.65679931640625,83.32154083251953,17202,0.0,0.0
2022-03-10 00:00:00+00:00,83.32073974609375,84.86259460449219,83.25685119628906,84.83869934082031,11830,0.0,0.0
2022-03-11 00:00:00+00:00,84.83927154541016,84.87059783935547,84.78498077392578,84.79972839355469,2016,0.0,0.0
2022-03-12 00:00:00+00:00,84.80018615722656,84.80123901367188,84.7986831665039,84.80036163330078,0,0.0,0.0
2022-03-13 00:00:00+00:00,84.80036163330078,84.80036163330078,84.80036163330078,84.80036163330078,0,0.0,0.0
2022-03-14 00:00:00+00:00,84.80036163330078,84.80036163330078,82.42609405517578,83.67118072509766,1153,0.0,0.0
2022-03-15 00:00:00+00:00,83.6696548461914,85.93324279785156,82.57342529296875,82.6284408569336,8537,0.0,0.0
2022-03-16 00:00:00+00:00,82.62797546386719,82.62797546386719,82.62267303466797,82.6257553100586,0,0.0,0.0
2022-03-17 00:00:00+00:00,82.6257553100586,82.6257553100586,82.6257553100586,82.6257553100586,0,0.0,0.0
2022-03-18 00:00:00+00:00,82.6257553100586,82.6257553100586,82.6257553100586,82.6257553100586,0,0.0,0.0
2022-03-19 00:00:00+00:00,82.6257553100586,82.6257553100586,74.68330383300781,74.68458557128906,5504,0.0,0.0
2022-03-20 00:00:00+00:00,74.68513488769531,75.50910949707031,72.9494857788086,74.34258270263672,4248,0.0,0.0
2022-03-21 00:00:00+00:00,74.34219360351562,77.09654235839844,74.30292510986328,75.31556701660156,8795,0.0,0.0
2022-03-22 00:00:00+00:00,75.31494903564453,76.15052032470703,74.57791900634766,74.60585021972656,10431,0.0,0.0
2022-03-23 00:00:00+00:00,74.60484313964844,75.34326934814453,72.94468688964844,73.03446197509766,5871,0.0,0.0
2022-03-24 00:00:00+00:00,73.03616333007812,73.87248229980469,69.74114227294922,69.76985931396484,9307,0.0,0.0
2022-03-25 00:00:00+00:00,69.76969909667969,70.99703216552734,65.77180480957031,65.7961654663086,13180,0.0,0.0
2022-03-26 00:00:00+00:00,65.79946899414062,67.57915496826172,57.70462417602539,65.17485809326172,39102,0.0,0.0
2022-03-27 00:00:00+00:00,65.17669677734375,69.292724609375,65.1704330444336,69.2721176147461,37205,0.0,0.0
2022-03-28 00:00:00+00:00,69.27251434326172,69.90219116210938,66.427734375,66.4872055053711,11299,0.0,0.0
2022-03-29 00:00:00+00:00,66.48308563232422,68.5562744140625,64.99720001220703,65.3204574584961,10207,0.0,0.0
2022-03-30 00:00:00+00:00,65.32040405273438,67.07604217529297,63.69380187988281,64.49583435058594,9665,0.0,0.0
2022-03-31 00:00:00+00:00,64.49694061279297,70.48619842529297,64.47925567626953,64.94092559814453,16136,0.0,0.0
2022-04-01 00:00:00+00:00,64.94540405273438,67.881591796875,62.99197006225586,63.47240447998047,22440,0.0,0.0
2022-04-02 00:00:00+00:00,63.473236083984375,65.47054290771484,61.71244812011719,62.45860290527344,17375,0.0,0.0
2022-04-03 00:00:00+00:00,62.45613098144531,64.8730697631836,61.92856216430664,62.16740036010742,12908,0.0,0.0
2022-04-04 00:00:00+00:00,62.16703414916992,65.40934753417969,62.044677734375,62.078216552734375,14099,0.0,0.0
2022-04-05 00:00:00+00:00,62.07919692993164,67.72795867919922,62.049442291259766,65.20321655273438,19338,0.0,0.0
2022-04-06 00:00:00+00:00,65.20081329345703,68.5978012084961,65.00389862060547,67.31336975097656,34978,0.0,0.0
2022-04-07 00:00:00+00:00,67.3151626586914,69.16818237304688,66.66136169433594,66.67427825927734,30404,0.0,0.0
2022-04-08 00:00:00+00:00,66.67909240722656,67.99242401123047,63.16476821899414,64.52864074707031,15751,0.0,0.0
2022-04-09 00:00:00+00:00,64.5289535522461,66.641357421875,63.40148162841797,63.442264556884766,11058,0.0,0.0
2022-04-10 00:00:00+00:00,63.442283630371094,69.93756866455078,61.68246078491211,61.712188720703125,26451,0.0,0.0
2022-04-11 00:00:00+00:00,61.71649169921875,67.39556884765625,61.69261169433594,67.36182403564453,34342,0.0,0.0
