rowDate,last_close,vol_scaled
2023-12-22,14.97,0.8073688144386555
2023-12-21,14.93,0.8052115163372829
2023-12-20,14.78,0.7971216484571361
2023-12-19,13.85,0.7469644676002256
2023-12-18,14.27,0.7696160976646368
2023-12-15,13.98,0.7539756864296863
2023-12-14,14.11,0.7609869052591468
2023-12-13,14.3,0.7712340712406662
2023-12-12,14.45,0.779323939120813
2023-12-11,14.59,0.7868744824756168
2023-12-08,14.76,0.7960429994064498
2023-12-07,16.85,0.9087618252031626
2023-12-06,14.56,0.7852565088995874
2023-12-05,14.84,0.8003575956091948
2023-12-04,14.61,0.787953131526303
2023-12-01,14.5,0.7820205617475287
2023-11-30,14.46,0.7798632636461562
2023-11-29,14.6,0.7874138070009599
2023-11-28,15.35,0.8278631464016941
2023-11-27,15.2,0.8197732785215472
2023-11-24,15.04,0.8111440861160573
2023-11-23,15.13,0.8159980068441455
2023-11-22,15.88,0.8564473462448796
2023-11-21,16.18,0.8726270820051732
2023-11-20,16.68,0.8995933082723294
2023-11-17,16.55,0.8925820894428689
2023-11-16,16.98,0.9157730440326232
2023-11-15,17.24,0.9297954816915442
2023-11-14,17.35,0.9357280514703188
2023-11-13,17.68,0.9535257608066418
2023-11-10,17.13,0.9238629119127699
2023-11-09,16.84,0.9082225006778194
2023-11-08,17.56,0.9470538665025242
2023-11-07,18.23,0.9831886097005136
2023-11-06,18.65,1.0058402397649246
2023-11-03,16.7,0.9006719573230156
2023-11-02,17.49,0.9432785948251223
2023-11-01,18.79,1.0133907831197284
2023-10-31,19.89,1.072716480907472
2023-10-30,20.03,1.0802670242622758
2023-10-27,20.02,1.0797276997369325
2023-10-26,21.14,1.1401320465753624
2023-10-25,18.56,1.0009863190368367
2023-10-24,18.82,1.0150087566957577
2023-10-23,19.65,1.059772692299237
2023-10-20,19.53,1.0533007979951197
2023-10-19,18.23,0.9831886097005136
2023-10-18,16.0,0.862919240548997
2023-10-17,16.18,0.8726270820051732
2023-10-16,17.07,0.9206269647607113
2023-10-13,15.95,0.8602226179222815
2023-10-12,15.7,0.8467395047887034
2023-10-11,16.74,0.9028292554243881
2023-10-10,17.56,0.9470538665025242
2023-10-06,17.39,0.9378853495716912
2023-10-05,17.34,0.9351887269449756
2023-10-04,18.09,0.9756380663457098
2023-09-27,15.08,0.8133013842174298
2023-09-26,14.74,0.7949643503557636
2023-09-25,14.1,0.7604475807338037
2023-09-22,14.18,0.7647621769365487
2023-09-21,13.96,0.752897037379
2023-09-20,13.03,0.7027398565220895
2023-09-19,12.95,0.6984252603193445
2023-09-18,12.85,0.6930320150659133
2023-09-15,11.73,0.6326276682274835
2023-09-14,12.02,0.648268079462434
2023-09-13,12.64,0.6817062000337077
2023-09-12,12.4,0.6687624114254728
2023-09-11,12.42,0.669841060476159
2023-09-08,12.4,0.6687624114254728
2023-09-07,12.69,0.6844028226604233
2023-09-06,12.46,0.6719983585775315
2023-09-05,12.42,0.669841060476159
2023-09-04,12.49,0.6736163321535609
2023-09-01,12.53,0.6757736302549333
